Banco de Venezuela, 0102
Banco Venezolano de Crédito, 0104
Banco Mercantil, 0105
Banco Provincial, 0108
Bancaribe, 0114
Banco Exterior, 0115
Banco Occidental de Descuento (BOD), 0116
Banco Caroní, 0128
Banesco, 0134
Banco Sofitasa, 0137
Banco Plaza, 0138
Bangente, 0146
Banco del Pueblo Soberano, 0149
BFC Banco Fondo Común, 0151
100% Banco, 0156
Del Sur, 0157
Banco del Tesoro, 0163
Banco Agrícola de Venezuela, 0166
Bancrecer, 0168
Mi Banco, 0169
Banco Activo, 0171
Bancamiga, 0172
Banco Internacional de Desarrollo, 0173
Banplus, 0174
Banco Bicentenario, 0175
BANFANB, 0177
Citibank, 0190
Banco Nacional de Crédito (BNC), 0191
Instituto Municipal de Crédito Popular, 0601
